,0,1,2,3,4,5,6,7,8,9,10,11
7,dctA,mtlA,mhpC,modF,trpC,adhP,fliZ,pmrD,gcvR,bglA,agaV,panF
8,JW3509,JW3628,JW0357,JW0780,JW1289,JW1492,JW1924,JW2260,JW2466,JW2913,JW3126,JW3253
9,dppF,gltS,tauA,ybiH,puuP,ydeM,fliH,menF,hyfA,yggJ,yhbT,yhdL
10,JW3510,JW3629,JW0374,JW0844,JW1296,JW1833,JW1934,JW2263,JW2475,JW2915,JW3144,JW3312
11,dppD,yicE,phoA,artJ,pspF,exoX,fliR,elaC,hyfJ,yqgE,folP,yheV
12,JW3511,JW3641,JW0418,JW0919,JW1302,JW1861,JW1993,JW2345,JW2483,JW2926,JW3148,JW3330
13,dppC,uhpT,cyoE,ssuA,ycjM,torZ,sbcB,intS,upp,yggL,greA,nirC
14,JW3512,JW0033,JW0499,JW1039,JW1322,JW1863,JW2004,JW2375,JW2598,JW2932,JW3157,JW3333
15,dppB,caiF,ybbW,msyB,mppA,cutC,hisB,ddg,smpA,nupG,yrbA,frlA
0,JW2667,JW3563,JW4090,JW0406,JW3000,JW0106,JW0468,JW0720,JW1126,JW1345,JW1549,JW2067
1,alaS,selB,lysU,nusB,cpdA,ampD,fsr,mngA,intE,racC,cspB,ogrK
2,JW2713,JW3564,JW4107,JW0538,JW3385,JW0107,JW0496,JW0727,JW1127,JW1381,JW1550,JW2132
3,pcm,selA,efp,rusA,rtcR,ampE,hyi,tolQ,ymfG,tynA,cspF,sanA
4,JW2858,JW3611,JW4129,JW0781,JW3468,JW0275,JW0526,JW0728,JW1297,JW1425,JW1573,JW2141
5,lysS,rpmG,miaA,rhlE,arsR,intF,ybcC,tolR,pspA,tehA,rspA,yeiG
6,JW3025,JW3815,JW4158,JW0983,JW3756,JW0316,JW0531,JW0864,JW1298,JW1426,JW1642,JW2197
7,glnE,tatC,rpsF,torD,rho,yahJ,emrE,cspD,pspB,tehB,nemA,eco
8,JW3227,JW3858,JW4161,JW1586,JW4178,JW0346,JW0544,JW0918,JW1299,JW1458,JW1670,JW2246
9,prmA,dtd,rplI,dgsA,msrA,frmB,ybcS,ssuD,pspC,nhoA,sufS,ais
10,JW3261,JW3907,JW4194,JW2088,JW4262,JW0368,JW0546,JW0933,JW1300,JW1525,JW1812,JW2310
11,rpmJ,rpmE,pmbA,yegW,sgcR,sbmA,borD,pqiA,pspD,marB,cspC,cvpA
12,JW3311,JW3946,JW4333,JW2554,JW4359,JW0423,JW0558,JW0934,JW1301,JW1538,JW1884,JW2364
13,slyD,rplK,rsmC,rseC,rob,ampG,nfrB,pqiB,pspE,pinQ,yecG,emrY
14,JW3326,JW4050,JW4335,JW2555,JW0052,JW0445,JW0590,JW0974,JW1339,JW1544,JW2046,JW2365
15,ppiA,rpiR,rimI,rseB,surA,ybaA,cstA,cspG,intR,cspI,wzb,emrK
0,JW2480,JW3024,JW3525,JW3469,JW3662,JW3911,JW4100,JW4338,JW4156,JW4327,JW1926,JW2468
1,yfgD,rfaE,cspA,arsB,yidE,metL,fxsA,osmY,ulaF,yjjB,fliJ,hyfC
2,JW2513,JW3234,JW3664,JW3493,JW3663,JW3955,JW4108,JW4341,JW4184,JW4329,JW1037,JW1142
3,iscU,acrF,ibpA,yhjH,ibpB,thiS,ecnB,yjjV,chpB,yjjQ,mdoH,tfaE
4,JW2602,JW3348,JW3894,JW3499,JW3675,JW3956,JW4122,JW4046,JW4265,JW0003,JW1237,JW0291
5,intA,gph,yiiT,bcsZ,yidB,thiF,rsgA,alsE,sgcQ,thrC,oppC,eaeH
6,JW2660,JW3363,JW3952,JW3534,JW3686,JW3978,JW4127,JW4111,JW4266,JW0660,JW2442,JW0657
7,emrA,hslR,htrC,yiaA,tnaA,iclR,amiB,ampC,sgcC,asnB,eutI,ybeZ
8,JW2661,JW3440,JW3369,JW3561,JW3725,JW4032,JW4208,JW4152,JW3071,JW0737,JW0482,JW0857
9,emrB,acpT,greB,aldB,yieN,nrfB,yjgJ,ulaB,yqjK,aroG,ybbO,hcp
10,JW2714,JW3461,JW3370,JW3620,JW3813,JW4035,JW4248,JW4153,JW3590,JW0127,JW2090,JW1035
11,surE,yhiO,yhgF,dinD,tatA,nrfE,fecD,ulaC,yibD,panD,thiD,mdoG
12,JW2753,JW3462,JW3415,JW3621,JW3838,JW4042,JW4250,JW4154,JW3634,JW3961,JW0565,JW1209
13,chpA,uspA,ugpC,yicG,hemN,yjcQ,fecB,ulaD,yicL,hemE,pheP,chaC
14,JW2836,JW3470,JW3425,JW3627,JW3897,JW4099,JW5967,JW4155,JW4236,JW1248,JW0669,JW1484
15,xdhC,arsC,livJ,recG,glpK,aspA,sgcB,ulaE,yjgZ,ompW,fur,dos
0,JW1571,JW2910,JW3095,JW3457,JW3741,JW3831,JW4211,JW1257,JW3685,JW5018,JW5061,JW5118
1,intQ,galP,garL,yhiL,ilvG,yihE,argI,trpL,tnaC,mltD,mdlB,dmsA
2,JW1710,JW2925,JW3096,JW3471,JW3747,JW3832,JW4227,JW1390,JW3739,JW5027,JW5072,JW5121
3,arpB,yggN,garP,yhiS,ilvC,dsbA,intB,paaH,ilvL,mmuP,sfmF,ssuC
4,JW2074,JW2976,JW3103,JW3526,JW3748,JW3848,JW4234,JW1607,JW3997,JW5034,JW5078,JW5122
5,gatR,yghB,agaW,hokA,ppiC,yihP,yjgX,uidC,malM,ykgM,nmpC,ycbQ
6,JW2102,JW3058,JW3179,JW3618,JW3749,JW3868,JW4242,JW1705,JW4233,JW5035,JW5087,JW5129
7,molR,ygjR,gltB,rph,yifO,frvR,yjhE,pheM,yjgW,ykgM,citF,mgsA
8,JW2514,JW3087,JW3184,JW3622,JW3750,JW3935,JW4302,JW2000,JW4246,JW5040,JW5092,JW5141
9,iscS,tdcC,yhcE,ligB,yifN,fabR,yjiQ,hisL,yjhV,ykgC,gltI,ycdN
10,JW2774,JW3088,JW3187,JW5937,JW3780,JW4065,JW0057,JW2579,JW5001,JW5046,JW5100,JW5156
11,fucK,tdcB,yhcE,ysdC,yzcX,phnE,rluA,pheL,htgA,mhpT,tolB,plsX
12,JW2886,JW3092,JW3236,JW3660,JW3781,JW4080,JW0687,JW2878,JW5004,JW5049,JW5104,JW5182
13,ygfG,yhaC,yhdW,glvC,yifL,melA,kdpF,zapA,caiE,ykiB,ybhF,dsbB
14,JW2906,JW3093,JW3449,JW3740,JW3803,JW4163,JW1219,JW3642,JW5011,JW5054,JW5117,JW5195
15,yqgB,garK,yhhH,ilvG,yigM,ytfA,tpr,uhpC,ligT,psiF,hcr,tonB
0,JW5199,JW5242,JW5271,JW5299,JW5915,JW5394,JW5449,JW5470,JW5492,JW5508,JW5527,JW5544
1,yciX,yddA,ydhX,yebQ,molR,ucpA,amiC,ygfU,yghU,yqiH,agaA,yhdX
2,JW5201,JW5244,JW5911,JW5313,JW5359,JW5397,JW5453,JW5473,JW5493,JW5510,JW5528,JW5545
3,puuA,yneL,yniD,yedO,yeiS,hda,yqeF,ygfB,hybF,ygjG,yraR,yhdY
4,JW5203,JW5251,JW5282,JW5913,JW5363,JW5399,JW5459,JW5479,JW5494,JW5513,JW5533,JW5546
5,ymjB,ynfO,astD,intG,bcr,yfgG,ygeM,yggU,hybB,ygjO,yhbC,zraP
6,JW5209,JW5254,JW5286,JW5316,JW5366,JW5401,JW5462,JW5482,JW5926,JW5514,JW5534,JW5547
7,sieB,ynfN,ynjD,fliO,ccmA,guaB,xdhA,speC,yghX,ygjP,yhbX,nfi
8,JW5218,JW5257,JW5290,JW5328,JW5367,JW5413,JW5463,JW5924,JW5496,JW5515,JW5538,JW5549
9,paaK,ynfP,ydjK,yoeF,napB,rimM,ygeW,yghE,yghY,alx,nanK,thiG
10,JW5225,JW5260,JW5293,JW5330,JW5368,JW5421,JW5464,JW5484,JW5499,JW5516,JW5539,JW5551
