,0,1,2,3,4,5,6,7,8,9,10,11
0,JW0812,JW1312,JW3596,JW2944,JW0878,JW2338,JW2771,JW3299,JW0030,JW3970,JW0816,JW2307
1,iaaA,ompG,rfaC,glcG,dmsB,yfcX,fucA,bfd,carA,purH,yliD,argT
2,JW1737,JW1368,JW3599,JW3180,JW1215,JW2692,JW2773,JW5689,JW0097,JW3656,JW1214,JW2885
3,astC,pinR,rfaZ,gltD,narG,hycD,fucI,malP,mutT,yidL,narK,argK
4,JW0588,JW1497,JW3603,JW3555,JW1216,JW2693,JW2775,JW3575,JW0458,JW0059,JW1807,JW2942
5,entA,ydeR,rfaB,sgbE,narH,hycC,fucU,mtlR,apt,polB,manY,yghK
6,JW0904,JW1867,JW3635,JW4054,JW1294,JW2694,JW2810,JW3864,JW2461,JW2502,JW1902,JW3239
7,smtA,flhE,nlpA,phnO,puuB,hycB,kduD,fdoH,purC,ndk,yecC,yhdZ
8,JW1082,JW1881,JW4282,JW4057,JW1471,JW2695,JW2894,JW0037,JW2491,JW0334,JW2077,JW3442
9,pabC,flhD,fimG,phnL,fdnH,hycA,epd,caiB,guaA,lacY,gatB,nikB
10,JW2257,JW2503,JW4318,JW4059,JW2018,JW2700,JW2958,JW0038,JW2787,JW0452,JW2234,JW3578
11,menB,pbpC,tsr,phnJ,wbbJ,hypE,hybG,caiA,recD,acrA,glpT,lldP
12,JW0136,JW2794,JW0264,JW4061,JW2082,JW2701,JW2960,JW0326,JW2790,JW0581,JW2304,JW4048
13,ecpD,ppdA,yagH,phnH,gatZ,fhlA,hybE,prpE,recC,fepG,hisM,alsA
14,JW1070,JW3233,JW2637,JW0339,JW2195,JW2770,JW2964,JW1409,JW3808,JW0685,JW2305,JW2756
15,flgL,acrE,gabT,mhpB,napD,fucO,hybA,azoR,udp,kdpB,hisQ,rumA
0,JW3136,JW5963,JW2051,JW5071,JW5468,JW5608,JW5761,JW5038,JW5189,JW5383,JW5808,JW5819
1,rbfA,blr,udk,sfmH,ygfS,yieP,yjgB,ykgB,ychM,tfaS,pcnB,ybjS
2,JW3213,JW2300,JW2368,JW5134,JW5517,JW5938,JW5777,JW5041,JW5215,JW5385,JW5811,JW5820
3,tldD,folX,yfdE,cspH,yhaL,yicM,yjhT,ykgE,ydbJ,yfdN,fhiA,ycfS
4,JW0453,JW2604,JW3419,JW5184,JW5522,JW5944,JW5787,JW5060,JW5235,JW5420,JW5812,JW5821
5,acrR,alpA,livF,cvrA,tdcE,yhiM,yjiT,bolA,yncH,ypjM,mbhA,emtA
6,JW2668,JW3029,JW4116,JW5234,JW5541,JW5693,JW5789,JW5084,JW5304,JW5448,JW5813,JW5822
7,recX,bacA,poxA,ansP,aaeX,yrfD,mcrC,hokE,yebA,ygdI,ykfC,abgT
8,JW3446,JW4015,JW2571,JW5278,JW5556,JW5710,JW5790,JW5143,JW5325,JW5525,JW5814,JW5823
9,nikR,aphA,kgtP,arpB,gldA,yrdA,yjiA,ycdT,yeeL,tdcR,yaiF,ydcH
10,JW0525,JW0040,JW5009,JW5354,JW5559,JW5733,JW5792,JW5145,JW5326,JW5607,JW5815,JW5908
11,intD,fixA,hpt,yohO,yiiM,yjdC,yjjM,ymdE,yoeA,hdfR,tfaD,yddM
12,JW0618,JW0333,JW5052,JW5423,JW5563,JW5742,JW5486,JW5170,JW5916,JW0488,JW5816,JW5825
13,cspE,lacA,ampH,pinH,yiiF,yjfN,glcF,ymfP,molR,ylbH,ybfE,yneF
14,JW0920,JW0341,JW5057,JW5466,JW5575,JW5755,JW5619,JW5171,JW5375,JW5807,JW5818,JW5826
15,ssuE,mhpD,yajL,guaD,mobB,yjgF,tnaB,ymfS,nuoC,leuB,potG,asr
0,JW5827,JW5837,JW5845,JW5854,JW5864,JW0688,JW5067,JW5686,JW3647,JW2460,JW3631,JW0939
1,ydhL,yegR,ygcS,yigL,yrhA,ybfA,ybbN,gntU,ivbL,ypfJ,yicI,ycbG
2,JW5910,JW5838,JW5846,JW5855,JW5947,JW1015,JW5097,JW3933,JW5080,JW0644,JW5002,JW3037
3,ydiD,yohG,ygeO,recQ,aroK,ycdU,abrB,oxyR,rzoD,djlC,hokC,rpsU
4,JW5830,JW5839,JW5847,JW5856,JW5868,JW2730,JW5112,JW3375,JW5089,JW0668,JW5003,JW3947
5,yebN,yejO,prfB,trxA,ulaG,ygcL,ybjG,bioH,lipB,ybfN,yaaY,rplA
6,JW5831,JW5840,JW5848,JW5857,JW5953,JW1267,JW5132,JW2226,JW5111,JW1166,JW5188,JW3134
7,znuA,elaD,yghO,rbsD,yjiP,cysB,etp,ubiG,yliB,ycgJ,dhaR,rpsO
8,JW5832,JW5841,JW5849,JW5858,JW5871,JW0162,JW5135,JW2904,JW5106,JW1083,JW5688,JW5125
9,yedQ,prmB,yqhC,yidX,mcrB,glnD,torS,speB,ybiM,yceG,rtcA,ycbW
10,JW5833,JW5842,JW5850,JW5859,JW5873,JW2042,JW5138,JW0022,JW5262,JW3489,JW5322,JW0502
11,yeeJ,yphC,yqjF,dgoT,prfC,wcaC,ycdH,rpsT,dmsD,yhjC,yedW,glxK
12,JW5834,JW5843,JW5852,JW5860,JW1830,JW0613,JW5176,JW1522,JW1559,JW3516,JW5396,JW5603
13,yeeY,norR,yihO,yidR,yobA,dcuC,ycgH,marC,ydfW,yhjX,ypfH,gpp
14,JW5836,JW5844,JW5853,JW5939,JW0485,JW0616,JW5179,JW1501,JW0197,JW3581,JW5443,JW1246
15,cld,ygcI,ysgA,yicJ,ybbP,dcuC,ymgH,hipB,dkgB,yibK,ygcW,yciB
0,JW2413,JW0695,JW4252,JW5865,JW4326,JW3714,JW3711,JW1943,JW1181,JW0125,JW2917,JW1596
1,yfeS,ybfL,fecR,yrfG,dnaT,atpF,atpG,vsr,ldcA,yadI,yggR,ydgH
2,JW2064,JW5874,JW0583,JW5065,JW1630,JW3715,JW2795,JW0240,JW0993,JW4334,JW5955,JW2087
3,baeR,ydhM,ybdA,ybbJ,pdxH,atpE,thyA,yafY,ycdI,holD,bglJ,yegV
4,JW5055,JW5876,JW1537,JW0738,JW2308,JW3716,JW1693,JW0823,JW2431,JW4067,JW2302,JW3210
5,proY,yfeH,ydfK,gpmA,ubiX,atpB,ydiA,dacC,yffI,phnC,yfcI,aaeA
6,JW5258,JW5877,JW1907,JW1731,JW3709,JW3039,JW1225,JW1406,JW4311,JW5869,JW2040,JW1750
7,ynfC,ypeB,fliA,ydjR,atpC,rpoD,hns,ynbB,hsdS,yjiK,wcaE,gdhA
8,JW5259,JW5878,JW3682,JW0090,JW3710,JW3400,JW0807,JW1395,JW1847,JW3359,JW2919,JW0729
9,ynfD,csiE,yidD,ddlB,atpD,gntK,ybiW,paaY,znuC,mrcA,yggT,tolA
10,JW5327,JW1058,JW4125,JW1026,JW4055,JW5592,JW0947,JW1991,JW5867,JW0621,JW0074,JW1107
11,yeeP,flgM,yjeF,csgC,phnN,dapF,yccT,sbmC,aidB,ybeM,leuL,ycfZ
12,JW5434,JW4253,JW3959,JW1031,JW3712,JW0870,JW0325,JW2309,JW3504,JW0409,JW3135,JW1785
13,ascG,fecI,rsd,ymdA,atpA,cydD,prpD,purF,bcsE,yajO,truB,yoaG
14,JW5165,JW2556,JW1982,JW3906,JW3713,JW1041,JW4177,JW0998,JW0310,JW0069,JW1656,JW2116
15,hflD,rseA,flu,priA,atpH,lpxL,ytfL,ycdC,yahD,setA,ydhQ,yehW
0,JW3435,JW3755,JW2287,JW0486,JW2276,JW1819,JW2316,JW1541,JW3451,,,
1,yhhP,rhoL,yfbQ,rhsD,nuoI,prc,usg,nohA,yhhI,,,
2,JW0413,JW3030,JW3586,JW5702,JW3366,JW0242,JW3818,JW5678,JW2021,,,
3,thiI,folB,yibN,crp,pck,yafZ,rfaH,yrhC,glf,,,
4,JW1921,JW1442,JW1273,JW2138,JW3890,JW0694,JW1566,JW5386,JW3301,,,
5,fliE,ydcZ,pyrF,galS,tpiA,ybfQ,dicB,ypdJ,tufA,,,
6,JW5851,JW2204,JW5646,JW0715,JW3924,JW2625,JW1488,JW5897,JW3937,,,
7,pnp,rcsD,envC,sucA,pflC,yfjY,gadB,yliA,trmA,,,
8,JW1427,JW3481,JW0577,JW0885,JW1115,JW0631,JW3485,JW5212,JW1367,,,
9,ydcL,mdtE,ybdZ,pflA,phoQ,ybeA,gadA,rzpR,tfaR,,,
10,JW2167,JW3829,JW2430,JW1122,JW1223,JW4142,JW0549,JW5529,,,,
11,yejE,mobA,yfeG,icd,rssB,yjfL,nohB,yhbO,,,,
12,JW3455,JW5119,JW4106,JW1692,JW2063,JW0306,JW3460,JW5679,,wild_type,,
13,yhiJ,ycaM,yjeK,pps,baeS,betT,pitA,rhsB,,wild_type,,
14,JW0633,JW0009,JW1838,JW2198,JW2214,JW1683,JW3943,JW1455,,,,
15,cobC,yaaH,purT,mqo,atoC,aroD,tufB,ydcC,,,,
0,,,,wild_type,,,,,,,,
1,,,,wild_type,,,,,,,,
2,,,,,,,,wild_type,,,,
3,,,,,,,,wild_type,,,,
4,,,,,,,,wild_type,,,,
5,,,,,,,,wild_type,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,wild_type,,,,
3,,,,,,,,wild_type,,,,
4,,,,,,,,,,,wild_type,
5,,,,,,,,,,,wild_type,
6,,,,,,,,,,,,wild_type
7,,,,,,,,,,,,wild_type
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,wild_type,,,,,,
3,,,,,,wild_type,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,wild_type,,,,,,,,
9,,,,wild_type,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,wild_type,,,,,,,,,,
15,,wild_type,,,,,,,,,,
